2048 4
4096 4
6144 3
8192 3
10240 3
12288 3
14336 5
16384 3
18432 3
20480 3
22528 3
24576 3
26624 4
28672 3
30720 3
32768 3
34816 3
36864 3
38912 5
40960 3
43008 3
45056 8
47104 4
49152 3
51200 9
53248 10
55296 12
57344 14
59392 11
61440 12
63488 11
65536 11
131072 11
196608 11
262144 10
327680 11
393216 10
458752 10
524288 10
589824 10
655360 10
720896 10
786432 10
851968 10
917504 10
983040 10
1048576 10
1114112 10
1179648 10
1245184 10
1310720 10
1376256 12
1441792 13
1507328 14
1572864 16
1638400 16
1703936 17
1769472 17
1835008 18
1900544 19
1966080 19
2031616 19
2097152 19
3597152 19
5097152 20
6597152 19
8097152 19
9597152 19
11097152 19
12582912 21
12597152 20
13000000 22
14500000 28
16000000 34
17500000 38
19000000 60
